#,Warehouse Type,ItemCode,ItemName,CodeBars,U_OEM,ABD,BRD,PUN,PUN-O,RJK,SUR,ZZDS-ABD,ZZDS-BRD,ZZDS-PUN,ZZDS-RJK,ZZDS-SUR,Total Qty,Total Value,Last Purchase Price 1,Last Purchase Price 2,Last Purchase Price 3,Software/Hardware
154,Saleable,S003285,SOzvpWzyy rSSrzTvzy PROTrpTvOz SrRVvpr SUvTr sOR TZ470 3YR,02-SSp-6507,Sozvpwzyy,6,0,0,0,0,0,0,0,0,0,0,6,457872,76312,76312,76844,Software
155,Demo,S003488,SOzvpWzyy rSSrzTvzy PROTrpTvOz SrRVvpr SUvTr sOR TZ270 1YR,02-SSp-6745,Sozvpwzyy,0,0,0,0,0,1,0,0,0,0,0,1,14109,15976,15976,16143,Software
156,Saleable,S003519,SOzvpWzyy rSSrzTvzy PROTrpTvOz SrRVvpr SUvTr sOR zSz 3700 3YR,02-SSp-7351,Sozvpwzyy,1,1,0,0,0,0,0,0,0,0,0,2,550404,281287,281287,281287,Software
157,Saleable,S003673,rxpuzztr Ozyvzr (Pyzz 2) - pSP,psQ7TTp0yu1P:0001_P1Y:zzzuzy,zvprosost,0,2,0,0,0,0,0,0,0,0,0,2,12768,3511.2,6384,6384,Software
158,Saleable,S003674,zvprosost 365 zpps sor ousvzrss pSP,psQ7TTp0yu1t:0001_P1Y:zzzuzy,zvprosost,0,10,0,0,0,0,0,0,0,0,0,10,56400,5640,6000,6000,Software
159,Saleable,S003675,zvprosost 365 ousvzrss ozsvp pSP,psQ7TTp0yu18:0001_P1Y:zzzuzy,zvprosost,0,81,0,0,0,0,0,0,0,0,0,81,99169.72,450.79,414.16,915.37,Software
160,Saleable,S003676,zvprosost 365 ousvzrss Stzzqzrq pSP,psQ7TTp0yqPo:0001_P1Y:zzzuzy,zvprosost,0,6,0,0,0,0,0,0,0,0,0,6,35615.47,6369.29,1561.12,6912,Software
161,Saleable,S003800,yvp-zzS-rXTW-oROWz-2Y-rv,QSW007rv,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,38327.31,38327.31,38093.58,37158.66,Software
162,Saleable,S003826,vyyustrztor pp sor trzzs (yrvry 1 1-9),65305188pz01z12,zqoor,0,1,0,0,0,0,0,0,0,0,0,1,27757.62,27757.62,29090.4,29090.4,Software
163,Saleable,S003838,Puotosuop sor trzzs (yrvry 1 1 - 9),65305155pz01z12,zqoor,0,1,0,0,0,0,0,0,0,0,0,1,27757.62,24323.68,29090.4,27757.62,Software
164,Saleable,S003839,zstrr rssrpts sor trzzs (yrvry 1 1 - 9),65304602pz01z12,zqoor,0,1,0,0,0,0,0,0,0,0,0,1,27757.62,27757.62,28774.2,28299.9,Software
165,Saleable,S003851,zqoor Prrzvrrr Pro sor trzzs (yrvry 1 1 - 9),65305364pz01z12,zqoor,0,1,0,0,0,0,0,0,0,0,0,1,27757.62,27757.62,28774.2,6581.7,Software
166,Saleable,S003854,Ossvpr 365 r3 (zpr pOz 1YR zTu),psQ7TTp0ys8R:0001_P1Y:zoztuyy,zvprosost,0,28,0,0,0,0,0,0,0,0,0,28,40107.76,1470,1486.04,1470,Software
167,Saleable,S003859,zvprosost 365 ousvzrss Stzzqzrq (zpr pOz 1YR zTu),psQ7TTp0yqPo:0001_P1Y:zoztuyy,zvprosost,0,40,0,0,0,0,0,0,0,0,0,40,23036.8,591,585,597.5,Software
168,Saleable,S003917,zvprosost 365 ousvzrss ozsvp (zpr pOz 1YR zTu),psQ7TTp0yu18:0001_P1Y:zoztuyy,zvprosost,0,184,0,0,0,0,0,0,0,0,0,184,19675.2,111.07,111.07,111.36,Software
169,Saleable,S003927,zvprosost 365 ousvzrss ozsvp (zpr pOz 1zO zTu),psQ7TTp0yu18:0001_P1z:zoztuyy,zvprosost,0,32,0,0,0,0,0,0,0,0,0,32,4330.4,134.8,135.02,134.8,Software
170,Saleable,S003949,rxpuzztr Ozyvzr (Pyzz 2) (zpr pOz 1YR zTu),psQ7TTp0yu1P:0001_P1Y:zoztuyy,zvprosost,0,7,0,0,0,0,0,0,0,0,0,7,239.12,532,532,532,Software
171,Saleable,S003972,Wvzqows ttWz - Wvzqows 11 Pro - yrtzyvzztvoz trt trzuvzr,qt7tzts0y4Ty:0003,zvprosost,0,61,0,0,0,0,0,0,0,0,0,61,829476.4,13577,13661.13,13611.19,Software
172,Saleable,S004083,STzTrsUy uz UPtRzqr sOR zSz 3700 SrRvrS,02-SSp-8724,SozvpWzyy,0,1,0,0,0,0,0,0,0,0,0,1,33000,25721,25721,25721,Software
173,Saleable,S004179,SOzvpWzyy zqVzzprq PROTrpTvOz SrRVvpr SUvTr sOR zSz 2700 3YR,02-SSp-6907,Sozvpwzyy,2,0,0,0,0,0,0,0,0,0,0,2,251620,125810,125810,125810,Software
174,Saleable,S004191,zprozvs zqvzzprq ozpxup - Vz,SRrzzSrzS,zprozvs,0,1,0,0,0,0,0,0,0,0,0,1,41038,41038,34607,34987,Software
175,Saleable,S004229,Wzszov pyouq Storztr Srrvvpr,Wzszov pyouq Storztr,Wzszov,0,103,0,0,0,0,0,0,0,0,0,103,672139.04,6216,13498.77,23542.34,Software
176,Saleable,S004257,Wvzqows Srrvrr 2022 Rrzotr qrsxtop Srrvvprs - 1 Usrr pzy 3 Yrzr,qt7tzts0q7uX:0008,zvprosost,0,10,0,0,0,0,0,0,0,0,0,10,42819,4281.9,3949.73,4039.5,Software
177,Saleable,S004575,zvprosost 365 s1 (zpr pOz zzz),psQ7TTp0zozq:0002_P1Y:zzzuzy,zvprosost,0,100,0,0,0,0,0,0,0,0,0,100,1704,1678,1665,1665,Software
178,Saleable,S004638,PpS pozsuytvzt Srrvvprs,PqpzZ10701z12,Trrzq zvpro,0,9,0,0,0,0,0,0,0,0,0,9,759232.5,84359.17,1012310,1012310,Software
179,Saleable,S004806,zvprosost Trzzs Roozs Pro wvtuout zuqvo pozsrrrzpvzt (zpr pOz zzz),psQ7TTp0QW7p:0006_P1Y:zzzuzy,zvprosost,0,2,0,0,0,0,0,0,0,0,0,2,58820,1526.45,30529.43,29410,Software
180,Saleable,S004926,Vuyzrrzovyvty zssrsszrzt zzq Przrtrztvoz Trstvzt,VzPT,Srrvvpr,0,1,0,0,0,0,0,0,0,0,0,1,525000,525000,3000,11250,Software
181,Saleable,S005001,SOzvpWzyy rSSrzTvzy PROTrpTvOz SrRVvpr SUvTr sOR TZ570 1YR,02-SSp-5137,SozvpWzyy,1,0,0,0,0,0,0,0,0,0,0,1,43937,43937,43937,0,Software
182,Saleable,S005012,zzurr Pzy-zs-you-to,zzurr PzYt,zvprosost,0,4,0,0,0,0,0,0,0,0,0,4,146879.9,160300.75,2117.96,105.82,Software
183,Saleable,S005040,zvprosost 365 ousvzrss ozsvp (zo Trzzs) (zpr pOz zzz),psQ7TTp0yu18:000P_P1Y:zzzuzy,zvprosost,0,24,0,0,0,0,0,0,0,0,0,24,16729.36,137.02,1054,901.87,Software
184,Saleable,S005067,Vrrzz Prrpzvq VRz pyzz prrpzyzrzt os povzts - vzpyuqrs 24/7 support,u-RzTztR-00-RPRPq-24,Vrrzz,6480,0,0,0,0,0,0,0,0,0,0,6480,419515.2,64.74,0,0,Software
185,Saleable,S005248,zzurr Pzy-zs-you-to,zzurr PzYt,zvprosost,0,2,0,0,0,0,0,0,0,0,0,2,3958.18,8661.01,4680.01,109963.3,Software
186,Saleable,S005250,zzzztrrztvzr rzqPovzt prztrzy (Oz-pyouq) zzzuzy suosprvptvoz srr sor 509 pozputrrs zzq Svztyr Usrr yvprzsr,85512.0Spz4,zzzztrrztvzr,0,509,0,0,0,0,0,0,0,0,0,509,452165.5,668878,888.34,904331,Software
187,Saleable,S005272,SOzvpWzyy pyOUq SrpURr rqtr SrpURr vzTrRzrT zpprSS ozSvp PrR USrR 1 YR,03-SSp-2504,SozvpWzyy,50,0,0,0,0,0,0,0,0,0,0,50,49550,991,991,991,Software
188,Saleable,S005434,Srqrvtr rPS Totzy Stzzqzrq sor 5 Usrr 3 Yrzrs,pTS5,Srqrvtr,6,0,0,0,0,0,0,0,0,0,0,6,40800,6800,6800,0,Software
189,Saleable,S005450,SOzvpWzyy pyOUq SrpURr rqtr SrpURr PRvVzTr zpprSS zqVzzprq PrR USrR 1 YR,03-SSp-2501,SozvpWzyy,8,0,0,0,0,0,0,0,0,0,0,8,19824,2478,2478,3999,Software
190,Saleable,S005454,SOzvpWzyy pyOUq SrpURr rqtr SrpURr PRvVzTr zpprSS zSSP POWrRrq+ TvrR ozSvp PrR USrR,03-SSp-2514,SozvpWzyy,4,0,0,0,0,0,0,0,0,0,0,4,724.68,181.17,181.17,181.17,Software
191,Saleable,S005455,SOzvpWzyy rSSrzTvzy PROTrpTvOz SrRVvpr SUvTr sOR TZ270 zSSP POWrRrq+ TvrR PrR svRrWzyy,03-SSp-0277,SozvpWzyy,1,0,0,0,0,0,0,0,0,0,0,1,1928.08,1928.08,0,0,Software
192,Saleable,S005461,Srqrvtr rPP Totzy Rrtuyzr sor 10 Usrr,pTR10,Srqrvtr,3,0,0,0,0,0,0,0,0,0,0,3,16320,5440,0,0,Software
193,Saleable,S005464,Srqrvtr rPP Totzy Stzzqzrq sor 10 Usrr,pTS10,Srqrvtr,5,0,0,0,0,0,0,0,0,0,0,5,68000,13600,0,0,Software
194,Saleable,S005465,Srqrvtr rPP Totzy Stzzqzrq sor 15 Usrr,pTS15,Srqrvtr,2,0,0,0,0,0,0,0,0,0,0,2,40800,20400,0,0,Software
195,Saleable,S005466,Srqrvtr rPP Totzy Stzzqzrq sor 25 Usrr,pTS25,Srqrvtr,1,0,0,0,0,0,0,0,0,0,0,1,34000,34000,0,0,Software
196,Saleable,S005467,Srqrvtr rPP Totzy Rrtuyzr sor 5 Usrr,pTR5,Srqrvtr,6,0,0,0,0,0,0,0,0,0,0,6,16320,2720,0,0,Software
